Part Number,D일 투입예정 수량(D일계획),D+1일 투입예정 수량(Total),D+2일 투입예정 수량(Total),D+3일 투입예정 수량(Total),D+4일 투입예정 수량(Total),D+5일 투입예정 수량,D+6일 투입예정 수량,D+7일 투입예정 수량,D+8일 투입예정 수량,D+9일 투입예정 수량,D+10일 투입예정 수량,D+11일 투입예정 수량,D+12일 투입예정 수량,CRET_TIME
Part 20,43,20,8,7,5,13,0,3,10,31,35,17,0,2021-09-13 18:30:00
Part 20,18,11,3,2,11,0,5,10,5,10,19,0,0,2021-09-14 17:30:00
Part 20,20,4,0,13,0,7,8,8,9,11,0,0,35,2021-09-15 16:33:00
Part 20,9,3,12,0,6,8,10,11,10,0,0,28,40,2021-09-16 17:06:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-17 06:32:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-18 07:13:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-19 06:30:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-20 06:29:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-21 06:31:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-22 06:33:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-23 06:35:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-24 06:33:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-25 15:38:00
Part 20,7,9,0,0,0,0,0,0,0,0,6,8,11,2021-09-26 06:28:00
Part 20,10,12,20,16,10,0,0,17,25,29,31,2,0,2021-09-27 12:58:00
Part 20,10,21,15,39,0,0,32,26,19,15,4,0,0,2021-09-28 18:00:00
Part 20,19,17,28,0,0,53,43,22,4,7,0,0,0,2021-09-29 11:58:00
Part 20,16,18,0,0,45,29,10,33,45,0,0,0,5,2021-09-30 17:34:00
Part 20,25,0,0,37,40,9,41,25,0,0,0,9,26,2021-10-01 07:08:00
Part 20,0,0,35,44,6,42,31,0,0,0,9,15,50,2021-10-02 08:35:00
Part 20,0,0,35,44,6,42,31,0,0,0,9,15,50,2021-10-03 07:03:00
Part 20,35,44,6,42,31,0,0,0,9,15,50,27,0,2021-10-04 16:30:00
Part 20,51,3,41,36,14,0,0,13,35,39,37,0,0,2021-10-05 10:29:00
Part 20,8,31,45,10,0,0,17,26,46,37,0,0,11,2021-10-06 18:34:00
Part 20,32,44,11,0,0,17,18,53,37,0,0,10,17,2021-10-07 17:32:00
Part 20,42,14,0,0,17,15,47,27,0,0,49,21,37,2021-10-08 15:05:00
Part 20,42,14,0,0,17,15,47,27,0,0,49,21,37,2021-10-09 07:05:00
Part 20,42,14,0,0,17,15,47,27,0,0,49,21,37,2021-10-10 06:29:00
Part 20,42,14,0,0,17,15,47,27,0,0,49,21,37,2021-10-11 06:28:00
Part 20,15,17,31,34,0,0,44,37,24,33,37,0,0,2021-10-12 11:34:00
Part 20,13,36,34,28,0,50,20,33,42,46,0,0,3,2021-10-13 12:38:00
Part 20,40,31,25,0,54,20,33,44,45,0,0,4,9,2021-10-14 16:30:00
Part 20,33,26,0,54,24,34,36,53,0,0,8,1,40,2021-10-15 15:34:00
Part 20,30,0,50,25,40,27,63,0,0,33,29,59,61,2021-10-16 07:42:00
Part 20,30,0,50,25,40,27,63,0,0,33,29,59,61,2021-10-17 06:36:00
Part 20,48,30,37,32,61,0,0,33,38,49,68,54,0,2021-10-18 16:38:00
Part 20,37,29,38,61,34,0,42,33,81,53,68,0,0,2021-10-19 15:57:00
Part 20,25,43,50,46,0,40,36,65,71,67,0,0,12,2021-10-20 16:01:00
Part 20,47,42,45,0,41,31,69,79,67,0,0,12,0,2021-10-21 15:01:00
Part 20,39,44,0,36,41,54,87,63,0,0,24,0,8,2021-10-22 16:03:00
Part 20,39,44,0,36,41,54,87,63,0,0,24,0,8,2021-10-23 07:08:00
Part 20,39,44,0,36,41,54,87,63,0,0,24,0,8,2021-10-24 06:33:00
Part 20,44,42,50,91,51,0,0,42,0,9,13,15,0,2021-10-25 17:29:00
Part 20,46,43,92,53,32,0,26,25,10,33,8,0,0,2021-10-26 06:33:00
Part 20,42,90,54,38,0,36,9,10,37,8,0,0,18,2021-10-27 06:39:00
Part 20,99,59,40,0,31,14,14,26,24,0,0,17,32,2021-10-28 16:26:00
Part 20,65,27,0,12,16,18,27,15,0,0,21,25,21,2021-10-29 15:38:00
Part 20,65,27,0,12,16,18,27,15,0,0,21,25,21,2021-10-30 07:04:00
Part 20,14,17,14,24,22,0,0,16,24,23,47,37,0,2021-11-01 07:03:00
