CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,0
2021-09-14,3
2021-09-15,6
2021-09-16,5
2021-09-17,13
2021-09-18,13
2021-09-19,13
2021-09-20,13
2021-09-21,13
2021-09-22,13
2021-09-23,13
2021-09-24,13
2021-09-25,13
2021-09-26,13
2021-09-27,0
2021-09-28,0
2021-09-29,0
2021-09-30,2
2021-10-01,3
2021-10-02,0
2021-10-03,0
2021-10-04,1
2021-10-05,1
2021-10-06,11
2021-10-07,14
2021-10-08,7
2021-10-09,7
2021-10-10,7
2021-10-11,7
2021-10-12,2
2021-10-13,11
2021-10-14,12
2021-10-15,12
2021-10-16,12
2021-10-20,8
2021-10-21,23
2021-10-22,29
2021-10-23,29
2021-10-24,29
2021-10-25,25
2021-10-26,28
2021-10-27,29
2021-10-28,31
2021-10-29,20
2021-10-30,20
2021-11-01,19
