CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,16
2021-09-14,23
2021-09-15,48
2021-09-16,37
2021-09-17,37
2021-09-18,37
2021-09-19,37
2021-09-20,37
2021-09-21,37
2021-09-22,37
2021-09-23,37
2021-09-24,37
2021-09-25,37
2021-09-26,37
2021-09-27,10
2021-09-28,6
2021-09-29,6
2021-09-30,4
2021-10-01,5
2021-10-02,0
2021-10-03,0
2021-10-04,34
2021-10-05,29
2021-10-06,38
2021-10-07,35
2021-10-08,40
2021-10-09,40
2021-10-10,40
2021-10-11,40
2021-10-12,73
2021-10-13,53
2021-10-14,47
2021-10-15,48
2021-10-16,0
2021-10-20,25
2021-10-21,19
2021-10-22,52
2021-10-23,52
2021-10-24,52
2021-10-25,45
2021-10-26,56
2021-10-27,63
2021-10-28,51
2021-10-29,53
2021-10-30,53
2021-11-01,46
