CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,15
2021-09-14,10
2021-09-15,3
2021-09-16,1
2021-09-17,1
2021-09-18,1
2021-09-19,1
2021-09-20,1
2021-09-21,1
2021-09-22,1
2021-09-23,1
2021-09-24,1
2021-09-25,1
2021-09-26,1
2021-09-27,1
2021-09-28,1
2021-09-29,1
2021-09-30,20
2021-10-01,39
2021-10-02,0
2021-10-03,0
2021-10-04,24
2021-10-05,19
2021-10-06,18
2021-10-07,25
2021-10-08,34
2021-10-09,34
2021-10-10,34
2021-10-11,34
2021-10-12,56
2021-10-13,27
2021-10-14,11
2021-10-15,4
2021-10-16,0
2021-10-20,18
2021-10-21,11
2021-10-22,8
2021-10-23,8
2021-10-24,8
2021-10-25,13
2021-10-26,27
2021-10-27,22
2021-10-28,33
2021-10-29,19
2021-10-30,19
2021-11-01,9
