CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,31
2021-09-14,38
2021-09-15,94
2021-09-16,48
2021-09-17,50
2021-09-18,50
2021-09-19,50
2021-09-20,50
2021-09-21,50
2021-09-22,50
2021-09-23,50
2021-09-24,50
2021-09-25,50
2021-09-26,50
2021-09-27,14
2021-09-28,38
2021-09-29,66
2021-09-30,41
2021-10-01,29
2021-10-02,0
2021-10-03,0
2021-10-04,27
2021-10-05,12
2021-10-06,11
2021-10-07,3
2021-10-08,4
2021-10-09,4
2021-10-10,4
2021-10-11,4
2021-10-12,15
2021-10-13,22
2021-10-14,24
2021-10-15,29
2021-10-16,0
2021-10-20,25
2021-10-21,30
2021-10-22,25
2021-10-23,25
2021-10-24,25
2021-10-25,29
2021-10-26,26
2021-10-27,40
2021-10-28,47
2021-10-29,42
2021-10-30,42
2021-11-01,48
