CRET_TIME,D일 투입예정 수량(D일계획)
2021-09-13,3
2021-09-14,19
2021-09-15,5
2021-09-16,1
2021-09-17,1
2021-09-18,1
2021-09-19,1
2021-09-20,1
2021-09-21,1
2021-09-22,1
2021-09-23,1
2021-09-24,1
2021-09-25,1
2021-09-26,1
2021-09-27,1
2021-09-28,1
2021-09-29,3
2021-09-30,3
2021-10-01,2
2021-10-02,0
2021-10-03,0
2021-10-04,10
2021-10-05,8
2021-10-06,13
2021-10-07,15
2021-10-08,12
2021-10-09,12
2021-10-10,12
2021-10-11,12
2021-10-12,7
2021-10-13,0
2021-10-14,1
2021-10-15,1
2021-10-16,0
2021-10-20,0
2021-10-21,0
2021-10-22,0
2021-10-23,0
2021-10-24,0
2021-10-25,15
2021-10-26,19
2021-10-27,23
2021-10-28,34
2021-10-29,24
2021-10-30,24
2021-11-01,4
